Time,Pressure
5.1424970E+02,9.7441025E+02
5.1525028E+02,9.7467438E+02
5.1625086E+02,9.7494865E+02
5.1725143E+02,9.7522751E+02
5.1825201E+02,9.7550514E+02
5.1925259E+02,9.7577980E+02
5.2025316E+02,9.7605499E+02
5.2125374E+02,9.7632454E+02
5.2225431E+02,9.7659287E+02
5.2325489E+02,9.7685783E+02
5.2425547E+02,9.7712189E+02
5.2525604E+02,9.7738457E+02
5.2625662E+02,9.7765167E+02
5.2725719E+02,9.7791435E+02
5.2825777E+02,9.7817978E+02
5.2925835E+02,9.7845375E+02
5.3025892E+02,9.7872803E+02
5.3125950E+02,9.7899422E+02
5.3226008E+02,9.7925308E+02
5.3326066E+02,9.7951279E+02
5.3426123E+02,9.7977028E+02
5.3526204E+02,9.8003044E+02
5.3626238E+02,9.8029518E+02
5.3726296E+02,9.8055885E+02
5.3826354E+02,9.8082207E+02
5.3926411E+02,9.8108177E+02
5.4026469E+02,9.8133759E+02
5.4126527E+02,9.8159370E+02
5.4226584E+02,9.8185997E+02
5.4326642E+02,9.8212631E+02
5.4426699E+02,9.8238785E+02
5.4526757E+02,9.8265030E+02
5.4626815E+02,9.8290955E+02
5.4726872E+02,9.8316338E+02
5.4826930E+02,9.8341675E+02
5.4926988E+02,9.8366875E+02
5.5027045E+02,9.8392220E+02
5.5127107E+02,9.8417229E+02
5.5227160E+02,9.8442802E+02
5.5327218E+02,9.8467918E+02
5.5427275E+02,9.8493355E+02
5.5527333E+02,9.8519272E+02
5.5627391E+02,9.8545235E+02
5.5727449E+02,9.8570404E+02
5.5827506E+02,9.8595268E+02
5.5927564E+02,9.8620354E+02
5.6027621E+02,9.8645081E+02
5.6127679E+02,9.8670235E+02
5.6227737E+02,9.8695145E+02
5.6327794E+02,9.8720032E+02
5.6427853E+02,9.8744362E+02
5.6527910E+02,9.8768463E+02
5.6627967E+02,9.8792549E+02
5.6728025E+02,9.8816620E+02
5.6828083E+02,9.8841629E+02
5.6928140E+02,9.8867325E+02
5.7028198E+02,9.8892685E+02
5.7128255E+02,9.8917763E+02
5.7228313E+02,9.8942535E+02
5.7328370E+02,9.8966507E+02
5.7428428E+02,9.8990593E+02
5.7528486E+02,9.9014870E+02
5.7628543E+02,9.9038994E+02
5.7728601E+02,9.9063248E+02
5.7828659E+02,9.9087753E+02
5.7928716E+02,9.9112289E+02
5.8028774E+02,9.9136742E+02
5.8128832E+02,9.9160545E+02
5.8228889E+02,9.9183990E+02
5.8328947E+02,9.9207077E+02
5.8429005E+02,9.9228455E+02
5.8529063E+02,9.9248245E+02
5.8629120E+02,9.9267250E+02
5.8729177E+02,9.9285217E+02
5.8829235E+02,9.9301620E+02
5.8929293E+02,9.9317230E+02
5.9029350E+02,9.9331604E+02
5.9129408E+02,9.9345276E+02
5.9229466E+02,9.9358192E+02
5.9329565E+02,9.9370232E+02
5.9429581E+02,9.9381554E+02
5.9529638E+02,9.9392456E+02
5.9629696E+02,9.9402267E+02
5.9729754E+02,9.9410957E+02
5.9829812E+02,9.9418282E+02
5.9929869E+02,9.9424088E+02
6.0029927E+02,9.9429398E+02
6.0129984E+02,9.9433838E+02
6.0230042E+02,9.9437981E+02
6.0330100E+02,9.9442154E+02
6.0430157E+02,9.9446373E+02
6.0530215E+02,9.9450348E+02
6.0630272E+02,9.9454201E+02
6.0730330E+02,9.9457779E+02
6.0830388E+02,9.9461121E+02
6.0930445E+02,9.9464478E+02
6.1030503E+02,9.9467201E+02
6.1130561E+02,9.9469940E+02
6.1230618E+02,9.9472717E+02
6.1330676E+02,9.9475121E+02
6.1430734E+02,9.9477524E+02
6.1530791E+02,9.9480141E+02
6.1630849E+02,9.9482353E+02
6.1730907E+02,9.9484367E+02
6.1830964E+02,9.9486786E+02
6.1931022E+02,9.9488815E+02
6.2031079E+02,9.9490898E+02
6.2131137E+02,9.9493050E+02
6.2231195E+02,9.9494949E+02
6.2331252E+02,9.9496368E+02
6.2431310E+02,9.9497780E+02
6.2531368E+02,9.9499077E+02
6.2631425E+02,9.9499779E+02
6.2731483E+02,9.9500618E+02
6.2831540E+02,9.9501717E+02
6.2931609E+02,9.9502609E+02
6.3031656E+02,9.9503372E+02
6.3131714E+02,9.9504463E+02
6.3231771E+02,9.9505692E+02
